id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
1001287,1,0,2.96,40,,0,98.0,14.3,0,0
1430306,1,1,0.97,22,1.0,0,139.4,19.4,0,0
1551109,1,0,0.51,17,1.46,0,45.4,3.0,0,0
731477,1,0,0.09,2,0.0,0,0.8,0.1,0,1
712385,1,0,0.95,14,0.0,0,10.7,0.6,0,1
1553836,1,0,0.5,24,1.48,0,21.3,2.4,0,0
1236414,1,0,1.84,13,0.13,0,42.6,2.7,0,0
382500,1,0,1.98,23,,0,5.9,1.2,0,1
11990,0,0,4.5,0,,0,0.0,0.0,6,1
660592,1,1,5.11,15,1.88,0,90.3,20.1,0,0
799888,1,0,1.45,30,0.0,0,31.7,2.1,0,1
1040804,1,1,2.82,22,1.3,0,131.5,5.6,0,0
364831,1,0,0.72,17,0.0,0,0.0,0.0,0,1
1674328,1,0,0.69,21,1.28,0,53.4,2.1,0,1
676222,1,0,5.01,22,0.7,0,35.6,4.4,0,0
236969,1,0,6.45,13,,0,23.4,2.5,0,1
1299991,1,0,1.05,5,0.0,0,49.9,4.7,0,1
819326,1,1,4.01,34,0.15,0,122.2,68.0,0,0
1286606,1,1,2.3,18,1.6,0,36.7,12.1,0,1
928446,1,0,3.24,22,0.61,0,25.5,2.2,0,0
1128432,1,0,1.78,18,0.0,0,95.8,10.2,0,1
1448538,1,1,0.91,18,1.56,0,81.5,3.9,0,0
1322077,1,0,1.3,21,0.0,0,52.4,3.4,0,1
753550,0,0,0.83,22,,0,6.3,0.5,0,1
1117441,1,0,0.61,18,0.0,0,27.4,1.0,0,1
1630360,1,0,0.15,15,1.82,0,75.1,7.8,0,0
517842,0,0,1.65,30,0.0,0,19.6,1.2,0,1
1038945,1,1,2.82,15,1.1,0,88.1,5.0,0,0
1002399,1,0,2.96,12,1.22,0,3.9,0.2,0,0
406958,1,1,4.84,16,0.0,0,29.0,1.4,0,1
1171424,1,0,0.98,14,0.0,0,44.8,2.5,0,1
1346082,1,0,1.24,20,0.74,0,92.8,5.9,0,0
256640,1,0,5.09,26,0.0,1,64.0,4.4,0,1
577949,1,1,0.41,0,,0,0.0,0.0,1,1
485532,1,1,6.09,23,0.53,0,71.1,13.6,0,0
1510390,1,1,0.68,8,1.29,1,72.9,14.6,0,0
1570914,1,0,0.25,19,0.0,0,41.2,2.8,0,1
1383486,1,1,1.11,28,1.11,0,26.0,1.4,0,0
565255,1,0,5.79,24,,1,30.3,2.2,0,0
285460,0,0,1.75,21,0.0,0,0.0,0.0,0,1
985966,1,0,3.63,12,0.3,0,111.8,11.4,0,1
366560,0,0,1.26,22,0.0,0,0.0,0.0,0,1
734,0,0,6.6,54,,0,0.0,0.0,0,1
77229,0,0,2.17,12,,0,0.0,0.0,0,1
690969,1,0,1.53,39,,0,18.8,3.7,0,1
276501,1,0,6.88,22,1.04,0,64.2,4.0,0,0
489684,1,0,2.16,22,,0,6.9,0.4,0,1
253971,1,0,4.49,23,,0,65.2,3.9,0,1
379222,1,0,0.27,18,1.7,0,0.0,0.0,0,1
1001369,1,0,2.96,12,0.98,0,48.0,5.3,0,0
1472566,1,1,0.83,15,1.15,0,109.2,4.2,0,0
1001765,1,1,2.96,24,1.02,0,8.9,0.6,0,0
1119373,1,0,1.32,22,0.0,0,74.4,10.2,0,1
951204,1,0,2.01,13,,0,38.8,3.0,0,1
661854,1,0,1.63,22,,0,0.5,0.0,0,1
1419756,1,0,1.01,20,0.97,0,52.6,2.7,0,0
1183862,1,0,2.07,13,1.87,0,74.3,5.1,0,0
1385183,1,0,1.1,22,0.87,0,113.5,10.2,0,0
1394276,1,0,1.08,14,0.89,0,67.0,4.6,0,0
1172966,1,1,2.11,13,1.82,0,31.8,9.1,0,0
1628809,1,1,0.16,13,1.82,0,3.0,0.5,0,0
976306,1,0,1.33,13,0.0,0,37.1,4.2,0,1
181908,1,1,7.31,22,0.05,1,32.6,1.7,0,0
660083,1,0,5.11,12,0.81,0,58.2,3.3,0,0
1298683,1,0,1.5,13,0.42,0,44.7,6.1,0,0
1630630,0,0,0.15,27,1.82,0,97.0,2.9,0,0
370351,1,0,2.14,19,,0,23.3,2.7,0,1
1324351,1,0,1.36,13,0.57,0,20.1,0.5,0,0
655057,0,0,0.91,0,0.0,0,8.3,0.7,0,1
856803,1,0,2.56,33,,1,46.6,2.2,0,1
1523760,1,0,0.63,14,1.34,0,28.1,2.0,0,0
1128898,1,1,2.31,16,1.61,0,105.9,3.9,0,0
301845,0,0,0.9,19,0.01,0,0.0,0.0,0,1
1048180,1,1,2.78,10,1.29,2,10.1,1.0,0,0
449417,0,0,0.57,13,0.01,0,0.0,0.0,0,1
1039202,1,1,2.82,22,1.09,0,21.1,0.7,0,0
972729,1,0,1.32,21,0.0,0,20.9,1.3,0,1
635933,0,0,0.13,17,,0,0.0,0.0,0,1
406183,1,1,3.68,24,,0,71.0,15.9,0,1
811931,1,0,1.75,21,0.0,1,23.0,4.0,0,1
827296,1,0,2.39,22,0.0,0,13.2,3.7,0,1
1255112,1,0,0.8,8,0.0,0,44.0,2.8,0,1
1432853,0,0,0.99,25,0.0,0,166.6,11.5,0,1
1583826,1,0,0.33,18,1.64,0,107.8,5.1,0,0
211558,0,0,4.88,23,,0,39.8,2.0,0,1
1394821,0,0,1.08,32,0.15,0,107.8,8.4,0,0
1681386,1,0,0.03,3,0.0,0,27.1,3.4,0,1
611695,1,0,5.41,22,1.88,1,66.5,6.3,0,0
226862,1,0,6.66,11,,3,12.6,1.8,7,1
604714,0,0,1.81,0,,0,17.1,1.1,2,1
1591873,1,0,0.3,16,1.68,0,56.0,5.4,0,0
1318550,1,0,1.39,13,0.52,0,28.4,2.7,0,0
861443,1,1,3.74,15,1.27,0,60.5,4.9,0,0
169700,1,1,2.78,0,,0,2.8,0.2,0,1
289769,0,0,1.98,24,,0,0.0,0.0,0,1
1484474,1,0,0.78,16,1.19,0,19.1,0.8,0,0
590655,0,0,0.92,19,,0,11.9,1.9,0,1
1434436,1,1,0.96,21,0.31,0,34.9,3.4,0,0
886359,1,1,0.87,20,0.0,0,18.0,5.5,0,1
1685109,0,0,0.16,13,1.81,0,69.0,1.9,0,1
1287947,1,0,1.56,30,0.13,1,52.8,3.0,0,0
1552570,1,1,0.5,25,1.47,2,78.9,5.4,0,0
1020257,1,0,0.68,13,0.0,0,40.7,2.2,0,1
132883,1,1,7.75,15,1.19,0,20.3,0.7,0,0
1596185,1,1,0.28,12,1.69,0,3.8,0.4,0,0
105741,1,1,2.01,0,,0,0.0,0.0,4,1
1546337,1,0,1.24,16,0.73,0,39.6,1.7,0,1
756975,1,1,4.38,16,1.55,0,41.1,0.9,0,0
696679,1,1,0.79,0,,0,5.4,0.5,6,1
406261,1,1,3.15,40,0.0,0,11.4,3.9,0,1
293758,1,1,6.83,21,0.22,0,49.5,3.3,0,0
872517,1,1,1.47,17,0.0,0,10.0,0.3,0,1
902015,0,0,0.66,17,0.0,0,45.7,1.5,0,1
986889,1,0,2.14,13,0.0,0,6.1,1.3,0,1
522181,1,1,0.51,20,0.0,2,0.0,0.0,0,1
263031,0,0,0.65,0,,0,0.0,0.0,0,1
1375326,1,0,1.13,20,0.84,0,94.6,5.6,0,0
457942,1,0,2.05,23,,0,4.1,0.3,0,1
25536,0,0,2.78,0,,0,0.0,0.0,6,1
81644,1,1,8.19,15,1.39,0,90.8,5.2,0,0
447084,1,0,3.28,22,,0,10.0,0.6,0,1
273089,1,1,6.89,10,1.42,0,3.7,0.4,0,0
614929,1,0,0.81,21,0.0,0,1.0,0.1,0,1
299925,1,1,6.81,25,0.29,0,44.5,3.4,0,0
258530,0,0,2.99,0,,4,2.6,0.3,6,1
331360,0,0,2.69,22,,1,8.0,0.4,0,1
1171008,1,1,1.96,20,0.0,0,42.9,2.8,0,1
1193767,1,0,1.97,14,0.0,0,33.8,1.3,0,1
1666127,1,0,0.05,7,1.92,0,27.4,3.5,0,0
332893,1,0,5.4,33,,0,22.5,0.5,0,1
1505012,1,1,0.71,14,1.51,3,54.8,4.5,0,0
353237,1,1,2.53,20,,0,1.5,0.7,0,1
655595,1,0,2.52,19,0.0,1,20.0,1.7,0,1
414340,0,0,1.76,18,0.0,0,1.6,0.2,0,1
1037751,1,1,0.25,0,0.0,0,21.0,3.4,0,1
579058,0,0,1.32,22,0.0,0,9.4,0.8,0,1
1372825,1,1,1.13,25,0.84,1,81.4,9.3,0,0
1137353,1,1,2.26,19,1.61,0,11.6,0.8,0,0
1080467,0,0,0.66,17,0.0,0,4.6,0.3,0,1
676590,0,0,0.86,19,0.0,0,0.0,0.0,0,1
1445809,1,1,0.92,36,1.3,0,271.9,20.9,0,0
75859,0,0,4.12,16,,0,0.0,0.0,0,1
650308,1,1,5.16,23,1.85,10,78.8,3.3,0,0
1509927,1,0,0.69,22,1.28,0,33.2,2.4,0,0
1464300,1,1,0.86,38,1.11,0,152.7,8.9,0,0
157022,0,0,1.08,10,,0,0.0,0.0,0,1
652969,1,0,5.14,21,0.46,0,174.6,10.4,0,0
230182,1,0,4.25,24,0.0,1,37.6,1.4,0,1
648958,1,0,1.08,21,0.0,0,0.5,0.0,0,1
422370,1,0,6.3,19,1.95,0,6.6,1.0,0,0
1192430,1,0,2.26,16,1.66,0,75.6,6.7,0,1
1470927,1,1,0.47,8,0.0,0,2.6,0.5,0,1
1342566,1,0,1.25,22,0.72,1,46.0,3.4,0,0
645702,1,1,0.53,0,,1,0.4,0.0,3,1
671381,1,1,0.65,0,,0,3.2,0.4,7,1
1514943,1,1,0.67,15,1.3,1,184.2,17.3,0,0
275190,0,0,1.24,0,0.0,0,0.0,0.0,0,1
108352,1,1,5.34,25,,0,13.8,8.3,0,1
898428,0,0,2.87,49,,0,139.8,7.4,0,1
448785,1,0,4.4,24,,0,57.5,7.0,0,1
630424,1,0,1.33,29,,0,40.2,1.8,0,1
71002,1,1,8.34,25,0.91,0,173.1,6.6,0,0
858747,1,1,2.03,22,0.0,0,9.7,1.1,0,1
684418,1,0,3.1,16,0.0,0,56.9,2.0,0,1
579886,0,0,1.31,55,0.0,0,80.3,4.6,1,1
719113,0,0,1.47,15,0.0,0,8.0,0.5,0,1
48786,1,0,3.12,22,,2,0.0,0.0,0,1
296972,1,1,6.82,10,1.16,0,61.2,3.0,0,0
191415,0,0,2.48,30,,0,55.4,2.7,0,1
304484,1,0,2.23,18,,0,0.0,0.0,0,1
791797,1,1,4.15,28,0.04,0,103.7,14.8,0,0
943000,1,1,3.17,24,0.96,0,38.6,5.3,0,0
1572800,1,1,0.88,15,1.09,1,29.5,3.3,0,1
760917,1,0,2.13,7,,0,14.9,0.6,5,1
582417,1,0,3.98,26,,0,104.0,15.9,0,1
1152901,1,1,2.19,8,1.74,0,3.5,0.4,0,0
1289549,1,1,1.56,37,0.38,0,348.2,17.3,0,0
1025486,1,0,2.88,12,1.05,0,34.3,1.5,0,0
551168,0,0,0.57,14,,1,0.0,0.0,0,1
1177802,1,0,0.92,14,0.0,0,38.0,2.5,0,1
821393,1,1,3.79,22,0.0,0,22.6,2.0,0,1
1116914,1,0,1.93,33,,0,90.3,4.2,0,1
837890,0,0,1.02,19,,0,30.2,3.3,0,1
1637533,1,0,0.13,22,0.85,0,21.2,0.7,0,0
1450398,1,0,0.91,14,1.31,1,70.1,3.0,0,0
1598123,1,0,0.27,23,1.7,0,37.7,2.1,0,0
110034,1,0,7.94,22,0.05,0,17.5,2.1,0,0
404100,1,0,2.26,0,,0,3.5,0.4,6,1
479775,1,0,4.56,17,0.0,0,15.8,2.5,0,1
111972,1,1,7.92,27,,1,0.0,0.0,0,0
130126,1,0,7.76,48,1.89,2,114.1,6.3,0,0
1475655,1,1,0.81,24,1.16,0,19.4,3.5,0,0
542164,0,0,1.98,0,,0,23.1,1.2,4,1
992023,1,1,3.0,15,1.16,0,18.6,1.2,0,0
692612,1,1,5.63,11,,0,4.7,0.2,0,1
606677,1,0,1.25,23,0.0,0,35.8,2.3,0,1
113634,0,0,2.94,64,,0,0.0,0.0,0,1
1374001,1,0,1.13,22,0.84,0,32.6,1.6,0,0
448703,1,0,1.99,23,,0,12.5,1.0,0,1
533377,1,0,4.77,22,0.0,0,116.7,13.8,0,1
755414,1,1,4.39,19,1.92,0,7.3,0.3,0,0
940141,1,0,0.35,13,0.0,2,20.6,1.2,0,1
881368,1,0,0.67,19,0.0,0,5.4,0.4,0,1
1083148,1,0,2.59,8,1.36,0,151.9,7.8,0,0
1377295,1,0,1.12,14,0.85,0,42.6,2.9,0,0
1406765,1,1,1.41,21,0.56,0,67.6,14.1,0,1
73822,1,1,2.32,22,,0,0.0,0.0,0,1
1345467,0,0,0.09,12,0.0,0,28.2,1.0,0,1
638977,1,1,5.22,26,1.88,0,6.0,0.3,0,0
1124833,0,0,2.35,5,,0,8.2,0.7,0,0
33156,1,1,9.12,20,0.24,0,131.2,8.8,0,0
932535,1,1,3.22,21,1.63,0,72.6,3.4,0,0
931153,1,0,3.23,22,0.62,0,62.1,3.9,0,0
396995,1,0,6.25,24,,0,55.1,4.6,0,1
761204,1,0,3.46,30,0.0,0,37.1,7.4,0,1
1479225,1,0,0.8,21,0.3,0,119.2,9.0,0,0
136898,1,0,1.39,21,0.0,0,0.0,0.0,0,1
169755,0,0,0.9,0,,0,0.0,0.0,0,1
1343051,1,0,1.25,12,0.78,0,61.5,4.0,0,0
480842,1,0,6.76,21,,0,6.3,0.3,0,1
1451593,1,1,0.9,22,0.0,0,21.8,2.7,0,1
659433,0,0,0.77,26,0.0,0,7.9,0.4,0,1
1047811,1,0,2.06,13,,0,10.5,0.6,0,1
620003,0,0,2.12,14,0.0,0,38.4,4.1,0,1
698273,1,0,4.85,22,0.97,0,25.1,1.9,0,0
416133,0,0,1.98,0,,0,3.6,0.3,6,1
587780,1,0,3.16,29,0.0,0,1.2,0.3,0,1
1511850,1,0,0.68,21,0.38,0,45.6,3.8,0,0
267640,1,1,1.78,23,0.0,0,0.0,0.0,0,1
377750,1,0,2.23,0,,0,12.2,1.1,0,1
1180306,1,0,2.08,19,1.84,0,47.4,3.1,0,0
1252476,1,0,1.76,13,0.21,0,65.7,4.0,0,0
1451588,1,1,0.9,28,1.32,0,9.8,2.5,0,0
238447,1,1,3.37,0,,0,7.2,0.9,7,1
947715,1,0,3.16,20,0.78,0,64.6,6.5,0,0
1044986,1,0,2.79,22,1.11,0,9.8,1.9,0,0
434503,1,1,6.25,17,0.25,0,119.4,7.2,0,0
549958,1,0,1.98,23,,0,7.1,0.2,0,1
586620,1,0,0.43,0,,0,0.0,0.0,3,1
1193480,1,1,0.95,12,,0,0.0,0.0,0,1
1140006,1,0,0.18,18,0.0,0,61.5,8.5,0,1
1483094,1,1,0.79,19,1.18,0,49.5,3.8,0,0
684996,0,0,0.66,0,0.0,1,45.1,2.9,6,1
552492,1,1,5.85,19,1.93,0,0.9,0.6,0,0
1178704,1,0,1.97,22,0.0,0,126.0,9.9,0,1
1531955,1,0,0.6,16,1.37,0,55.2,2.3,0,0
1536307,1,1,0.58,50,0.33,0,428.1,9.3,0,0
1318394,1,0,1.39,13,0.58,0,66.1,5.7,0,0
1481808,1,0,0.79,20,1.18,0,24.0,0.9,0,0
906840,1,0,3.94,18,,0,33.2,4.6,0,1
471233,1,1,6.13,33,,0,45.7,2.7,0,0
395121,1,0,2.1,23,,0,0.1,0.0,0,1
550614,1,0,5.6,22,,1,36.8,3.1,0,1
80686,1,0,5.12,11,,0,1.4,0.1,0,1
56069,0,0,2.02,0,,4,0.0,0.0,4,1
922620,1,1,3.28,12,0.57,0,53.0,2.5,0,0
1405241,1,0,1.05,14,0.92,0,47.0,2.7,0,0
273548,1,0,7.12,121,,1,623.2,43.8,0,1
1457596,1,0,0.88,20,1.09,0,46.3,2.3,0,0
1274434,1,0,1.64,13,0.31,0,6.0,0.3,0,0
577627,0,0,2.68,20,,0,14.9,1.4,0,1
846171,1,1,1.74,32,,0,15.1,1.2,0,1
88891,1,0,6.1,23,0.0,0,73.6,6.4,0,1
1461258,1,0,0.87,14,1.1,0,18.8,1.0,0,0
398622,1,0,2.07,22,,0,27.7,6.2,0,1
1642781,1,0,0.12,10,1.85,0,5.5,1.1,0,0
1173702,1,1,2.1,19,1.82,0,35.4,5.4,0,0
1141555,1,1,2.24,21,0.12,0,25.0,2.1,0,0
572148,1,0,6.13,20,0.81,0,47.6,2.4,0,1
1519819,1,1,0.65,15,1.32,0,111.5,5.2,0,0
303634,1,0,0.91,21,0.0,1,0.0,0.0,0,1
939074,1,0,3.19,22,0.74,0,21.5,2.5,0,0
327640,1,1,3.87,10,,0,3.8,2.1,6,1
1347311,1,0,1.23,22,0.75,0,50.4,5.7,0,0
374257,1,1,6.79,10,,0,45.4,2.5,0,1
1577688,1,1,0.13,25,0.0,0,148.9,10.5,0,1
1652835,1,1,0.1,10,0.13,0,53.5,7.8,0,0
520092,1,0,3.39,16,0.0,0,17.0,0.8,0,1
394603,0,0,1.33,38,0.0,0,0.0,0.0,0,1
129243,1,1,1.68,13,,0,0.0,0.0,0,1
1565871,1,0,0.42,10,1.79,0,66.3,3.3,0,0
596870,0,0,0.38,17,,0,0.0,0.0,0,1
701128,1,0,2.8,15,0.0,0,19.0,0.8,0,1
1218898,1,1,1.92,20,0.05,0,60.4,7.8,0,0
305235,1,0,1.98,0,,0,0.0,0.0,0,1
1534961,1,1,0.74,12,1.03,0,13.4,0.5,0,1
1439866,1,0,0.94,14,1.03,0,13.2,0.7,0,0
238450,1,0,2.43,50,,0,96.8,10.9,0,1
37526,1,1,2.9,21,,4,0.0,0.0,0,1
430845,1,0,2.35,21,,0,32.3,2.0,0,1
1091628,1,1,2.54,20,1.16,0,15.7,1.0,0,0
905347,1,0,2.11,27,0.0,1,78.1,2.9,0,1
573210,1,0,2.21,23,,0,8.2,0.8,0,1
1622724,1,1,0.17,15,1.8,2,39.5,3.3,0,0
1062464,1,1,2.7,24,1.24,0,12.3,1.0,0,0
960766,1,1,3.12,17,1.9,1,44.2,2.8,0,0
643098,1,0,2.03,24,,0,4.8,0.2,0,1
277901,0,0,5.07,23,,0,9.2,0.4,1,1
834131,1,0,0.0,0,0.0,0,0.0,0.0,0,1
1594695,1,0,0.29,15,1.68,0,43.8,2.5,0,0
945412,1,0,3.17,22,0.74,0,67.0,3.3,0,0
321099,0,0,2.58,23,,1,20.1,2.0,0,1
40156,0,0,2.59,0,,0,0.0,0.0,0,1
339537,0,0,0.67,21,0.0,0,0.0,0.0,0,1
757417,1,1,4.38,15,1.43,0,44.2,1.6,0,0
978675,1,0,1.97,30,0.0,1,79.9,8.0,0,1
170498,1,0,4.39,7,0.0,0,11.7,0.4,0,1
967388,1,0,2.09,10,0.0,0,5.5,0.2,0,1
254070,1,1,3.4,17,0.0,2,13.1,0.5,0,1
891573,1,1,3.2,18,0.0,0,175.0,14.5,0,1
716430,1,0,4.72,21,0.36,0,17.0,0.5,0,0
7245,1,0,6.56,0,,0,0.0,0.0,0,1
797994,1,1,3.81,22,0.0,0,93.2,7.6,0,1
1473411,1,1,0.82,15,1.15,0,27.8,3.9,0,0
1680161,1,0,0.0,0,1.87,0,,,0,0
1267176,1,1,1.68,12,0.29,0,81.1,7.6,0,0
852588,1,1,0.82,18,0.0,0,15.7,0.9,0,1
1550113,1,0,0.52,66,1.45,0,98.4,12.8,0,0
1193422,1,1,2.03,12,1.7,2,123.2,18.8,0,0
1238005,1,0,1.99,21,,0,0.0,0.0,0,1
1582756,1,1,0.34,26,1.64,0,79.9,4.6,1,0
224323,0,0,3.03,17,0.0,0,7.5,0.6,0,1
1020581,1,0,1.98,7,,0,3.2,0.2,0,1
196061,1,0,5.54,34,0.0,0,72.6,3.1,0,1
475677,1,0,6.66,20,,0,80.4,8.7,0,1
1036926,1,0,2.07,9,,0,15.2,1.4,0,1
414678,1,0,1.99,21,,0,0.2,0.0,0,1
1279522,1,0,1.97,6,0.0,0,4.4,0.9,0,1
316268,0,0,3.33,22,0.0,0,11.6,0.8,0,1
689739,1,0,0.5,12,,0,2.6,0.2,0,1
63654,0,0,1.6,13,,0,0.0,0.0,0,1
202607,1,1,7.18,21,1.95,0,168.9,7.3,0,0
1370939,1,0,1.14,14,0.84,0,25.8,6.7,0,0
1233496,1,0,1.86,22,0.09,0,27.8,3.5,0,0
1191293,1,1,2.04,13,0.55,0,12.7,2.1,0,0
140958,1,0,7.7,12,,0,10.8,2.1,6,0
197698,1,0,4.44,25,0.0,0,15.1,0.8,0,1
530296,1,0,5.93,24,,0,4.8,0.6,0,0
504437,0,0,0.12,11,0.0,0,0.0,0.0,0,1
1061399,1,0,2.71,26,1.85,0,9.3,0.5,0,0
1268872,1,1,1.67,37,0.3,0,76.4,19.6,0,0
375965,1,1,6.47,20,0.18,0,47.4,21.1,0,0
834700,1,1,3.92,24,1.93,0,241.0,18.8,0,0
205147,1,1,1.19,0,,0,0.0,0.0,2,1
615047,1,1,5.39,15,1.15,0,73.2,4.4,0,0
842092,1,0,3.87,12,1.06,0,68.5,9.7,0,0
323758,1,1,6.7,17,1.65,0,125.5,11.0,0,0
693094,1,1,4.89,22,0.07,1,79.8,7.0,0,0
1279415,1,1,1.62,12,0.31,0,62.3,6.6,0,0
301275,1,1,6.81,24,1.34,1,128.1,8.8,0,0
1093012,1,1,2.53,10,1.36,5,9.2,0.9,0,0
741007,1,0,0.63,54,,0,16.1,3.3,0,1
1475375,1,1,0.81,15,1.16,0,30.8,1.5,0,0
1513999,1,0,0.67,14,1.3,0,75.6,6.2,0,0
899368,1,1,3.46,12,0.46,0,20.4,2.3,0,0
937858,1,0,3.19,22,0.74,0,58.0,5.6,0,0
1169614,1,0,2.12,14,,0,97.9,6.2,0,0
118724,1,1,7.87,21,0.46,0,26.5,2.9,0,0
381527,1,0,0.68,21,0.01,0,0.0,0.0,0,1
299701,0,0,0.68,0,1.29,0,0.0,0.0,1,1
526070,1,0,1.38,15,0.0,0,0.0,0.0,0,1
304740,1,1,6.79,21,0.21,0,19.4,1.6,0,0
71673,1,0,8.33,25,1.83,0,59.1,4.3,0,0
522480,0,0,1.54,0,0.0,0,0.4,0.0,1,1
699274,1,0,1.91,19,0.0,0,6.2,0.5,0,1
930137,1,1,3.23,19,1.8,0,49.8,3.1,0,0
1262322,1,1,2.47,14,1.58,0,29.5,1.7,0,1
962409,1,1,3.12,12,0.83,0,19.0,1.5,0,0
861522,1,1,4.0,29,0.41,2,113.5,30.9,0,1
1480709,1,0,0.79,13,0.23,0,31.8,10.3,0,0
788935,0,0,1.77,50,,8,93.3,70.4,0,1
897366,0,0,1.45,30,0.0,2,46.9,8.8,0,1
558469,1,0,0.01,0,0.0,0,0.0,0.0,0,1
730140,1,1,4.62,25,0.42,0,117.6,11.8,0,0
1674054,0,0,0.02,0,1.95,0,,,0,0
1277463,1,1,1.63,6,0.35,0,70.0,3.8,0,0
551728,1,0,2.84,18,0.0,1,26.6,6.5,0,1
1312005,1,0,2.15,4,,0,0.0,0.0,0,1
890701,1,0,0.11,15,,0,0.0,0.0,0,1
872778,1,0,3.67,21,0.23,1,199.5,11.0,0,0
5767,1,0,6.37,14,,0,0.0,0.0,0,1
898205,1,1,2.32,31,,0,26.7,3.9,0,1
1580785,1,0,0.35,19,1.62,0,114.3,8.8,0,0
1682196,1,1,0.52,10,0.0,0,24.7,0.9,0,1
1310480,1,0,1.43,6,0.48,0,78.8,4.8,0,0
339564,0,0,0.25,17,0.0,0,0.0,0.0,0,1
1476952,1,1,0.81,15,1.16,0,34.0,2.1,0,0
1506964,1,1,0.7,16,1.52,0,89.9,4.6,0,0
142173,1,1,7.69,10,1.38,1,5.1,0.2,0,0
172783,0,0,1.97,22,0.0,0,0.0,0.0,0,1
1010865,1,0,2.93,12,0.99,0,62.0,4.7,0,0
438872,0,0,2.18,22,,0,7.8,0.7,0,1
77249,0,0,3.79,24,,0,17.1,3.6,0,1
330334,1,1,3.73,17,0.0,0,4.5,0.3,1,1
705461,1,0,1.41,23,,0,28.3,3.0,0,1
840317,1,0,3.88,22,0.06,0,12.5,1.8,0,0
971870,1,0,3.07,12,0.93,0,41.5,2.3,0,0
455758,0,0,1.15,18,0.0,0,0.0,0.0,0,1
1631588,1,1,0.15,13,1.82,0,29.1,9.0,0,0
873055,1,1,3.67,12,0.23,0,43.4,2.1,0,0
274760,0,0,0.64,14,0.0,0,0.0,0.0,0,1
448047,1,0,3.82,26,0.0,0,44.4,2.1,0,1
1611763,1,1,0.22,20,1.75,0,40.4,2.7,0,0
955004,1,0,0.31,24,0.0,0,6.2,0.2,0,1
257791,0,0,6.94,12,,0,4.3,0.4,4,0
765930,1,0,1.98,30,,0,4.6,0.2,0,1
1452923,1,0,0.9,20,1.07,0,36.6,2.1,0,0
1411003,1,1,1.03,22,0.94,0,153.9,8.1,0,0
1182986,1,0,2.07,14,,0,16.4,0.3,0,0
